date,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Organic Matter,Suspended Matter,Temperature
2018-12-18,0.0497979304227824,-0.0435339190010381,-0.0435339190010381,4.143288706499874,7.555849576782771,,,
2018-12-23,0.1962891558156541,-0.1186106119860832,-0.1186106119860832,3.3283431025505443,7.6484764350045,,,
2018-12-28,0.226072294251806,-0.1432359069542359,-0.1432359069542359,4.161987060225735,7.762075597649022,,,
2019-01-02,0.2215306106799442,-0.1275732248290732,-0.1275732248290732,3.939462720767807,7.770441071634645,,,
2019-01-07,0.1991357542119373,-0.1221866616788993,-0.1221866616788993,4.866197809322305,7.810373999631614,,,
2019-01-12,0.0932527346739699,-0.0732362602399351,-0.0732362602399351,1.9923403949044791,7.529976766291535,,,
2019-01-17,0.1073042572056372,-0.0650917109610659,-0.0650917109610659,6.756360962549789,7.669171130394008,,,
2019-01-22,0.1804260080238681,-0.0994847299029162,-0.0994847299029162,4.8918193176516,7.714616391737017,,,
2019-01-27,0.2108924488290048,-0.0886631617185185,-0.0886631617185185,5.797334109446428,8.03453261060853,,,
2019-02-01,0.1949974967636864,-0.1001793630507414,-0.1001793630507414,5.318987255205099,7.6460810255540945,,,
2019-02-06,0.1759196502437519,-0.0782402394805956,-0.0782402394805956,6.114749729631487,7.871627550088888,,,
2019-02-11,0.1113749239686275,-0.0624472000582751,-0.0624472000582751,4.734539642424367,7.644947724507838,,,
2019-02-16,0.1769712444236546,-0.0807631607616637,-0.0807631607616637,5.957520432864757,7.926851109746971,,,
2019-02-21,0.1938786051839681,-0.0779009665728543,-0.0779009665728543,6.564447388632653,7.534161547632113,,,
2019-02-26,0.2123457594503634,-0.0915865738822546,-0.0915865738822546,7.153218440882209,7.981965558865792,,,
2019-03-08,0.1894573237628694,-0.0568436180475736,-0.0568436180475736,5.589437167668099,8.022024911864893,,,
2019-03-13,0.2069069229978644,-0.0554251409212507,-0.0554251409212507,5.317553290250011,8.083864249098427,,,
